Body,Department,Priority,Tags
Good morning we are evaluating your security solution for our organization,Sales and Pre-Sales,Low,proposal request
FYI the corporate network is extremely slow when I try to online meetings,Technical Support,Medium,laptop hardware
The the CRM application on my tablet will not open after the Windows update,Technical Support,Critical,active directory
Requesting assistance i was billed for software license that we already cancelled,Billing and Payments,Low,invoice payment
Hello the monitor will not load the desktop even after restarting it,Technical Support,High,authentication error
For your attention i want to discuss a bulk purchase of twenty monitoring platform licenses,Sales and Pre-Sales,Low,trial evaluation
Following up i suspect my workstation was infected while accessing the database,Technical Support,High,wifi connection
Requesting assistance the external drive is missing parts and I would like to return it,Returns and Exchanges,Low,return refund
Reporting an issue requesting installation of the ERP system on my work tablet,Technical Support,High,wifi connection
Kindly assist we need a scalable monitoring platform solution for two hundred users,Sales and Pre-Sales,Medium,license upgrade
Kindly assist the invoice generated this month contains incorrect service charge,Human Resources,Medium,refund billing
Please help the company intranet is extremely slow when I try to file transfers,Technical Support,Critical,laptop hardware
The company account on my account needs to be updated urgently,Billing and Payments,Low,tax invoice
FYI the keyboard was damaged during shipping and needs to be returned,Returns and Exchanges,Low,replacement request
Please help i need to return the scanner because it is scratched,Returns and Exchanges,Medium,store credit
For your attention please confirm the status of my unpaid leave application,Human Resources,High,employee benefits
For your attention i want to opt out of the dental coverage for the next enrollment period,Returns and Exchanges,High,onboarding paperwork
Need support my refund for the returned printer has not arrived yet,Sales and Pre-Sales,High,exchange product
For your attention my credit card was declined when paying the account statement,Billing and Payments,Low,purchase order
Quick question i cannot connect to the company LAN from a hotel,Technical Support,Low,vpn network
Good morning my shift allowance was not included in this month's payment,Human Resources,Medium,employment letter
Please help i cannot log into the shared drive using multi-factor authentication,Technical Support,Critical,cloud storage
Following up i would like a full refund for the not working monitor,Returns and Exchanges,Low,damaged item
FYI the external drive in the office is overheating and needs attention,Technical Support,High,laptop hardware
Hi team my notebook shows a certificate warning immediately after startup,Technical Support,High,wifi connection
Kindly assist a duplicate charge for annual contract appeared on my account statement,Billing and Payments,Medium,refund billing
Kindly assist can you resend my payslip as I did not receive it,Human Resources,Medium,onboarding paperwork
For your attention my overtime pay was not included in this month's payment,Human Resources,Low,employment letter
Hello i would like to review my wellness program options for next year,Human Resources,Low,employment letter
FYI i need a letter confirming my employment for employment letter purposes,Human Resources,High,tax document
